padmet_file	pathways	reactions	reactions_with_gene_association	genes	compounds
padmet/GCA_900318475.padmet	158	1256	944	542	1536
padmet/GCA_900321565.padmet	167	1326	961	675	1655
padmet/GCA_900314985.padmet	177	1297	971	688	1578
padmet/GCA_900316025.padmet	142	1124	837	516	1384
padmet/GCA_900313345.padmet	35	491	332	190	763
padmet/GCA_900317085.padmet	145	1158	828	555	1501
padmet/GCA_900313255.padmet	134	1203	867	490	1543
padmet/GCA_900321045.padmet	171	1250	912	559	1530
padmet/GCA_900320475.padmet	141	1003	775	545	1225
padmet/GCA_900315125.padmet	194	1545	1110	684	1774
padmet/GCA_900319665.padmet	178	1392	979	624	1697
padmet/GCA_900316385.padmet	123	1091	827	478	1354
padmet/GCA_900314335.padmet	164	1217	884	578	1466
padmet/GCA_900321185.padmet	34	405	306	168	615
padmet/GCA_900314625.padmet	175	1418	1077	653	1709
padmet/GCA_900321905.padmet	120	1049	725	451	1341
padmet/GCA_900318745.padmet	144	1157	807	509	1467
padmet/GCA_900319535.padmet	65	722	593	440	971
padmet/GCA_900318405.padmet	165	1271	934	594	1516
padmet/GCA_900321545.padmet	140	1100	775	476	1323
padmet/GCA_900320465.padmet	144	1161	814	555	1462
padmet/GCA_900321535.padmet	63	610	474	280	886
padmet/GCA_900316075.padmet	166	1330	1014	606	1589
padmet/GCA_900320265.padmet	164	1248	905	548	1491
padmet/GCA_900318535.padmet	165	1314	982	572	1601
padmet/GCA_900313135.padmet	152	1283	904	538	1571
padmet/GCA_900320295.padmet	158	1187	877	526	1425
padmet/GCA_900320345.padmet	153	1123	779	584	1374
padmet/GCA_900317895.padmet	183	1308	960	665	1592
padmet/GCA_900317945.padmet	153	1251	980	589	1466
padmet/GCA_900318815.padmet	182	1365	1018	711	1678
padmet/GCA_900313725.padmet	46	586	364	224	882
padmet/GCA_900316165.padmet	175	1330	1000	648	1594
padmet/GCA_900319055.padmet	138	1109	804	584	1373
padmet/GCA_900318845.padmet	127	1102	819	458	1400
padmet/GCA_900317645.padmet	184	1392	1038	690	1668
padmet/GCA_900319575.padmet	175	1264	922	556	1479
padmet/GCA_900314835.padmet	171	1300	986	570	1546
padmet/GCA_900313545.padmet	144	1190	852	554	1488
padmet/GCA_900315895.padmet	127	1091	770	465	1414
padmet/GCA_900317345.padmet	134	1049	754	442	1286
padmet/GCA_900318075.padmet	40	456	344	236	690
padmet/GCA_900313165.padmet	161	1263	920	607	1554
padmet/GCA_900314595.padmet	161	1352	1034	604	1638
padmet/GCA_900320185.padmet	144	1169	829	504	1452
padmet/GCA_900319675.padmet	119	1095	770	476	1427
padmet/GCA_900320055.padmet	160	1276	932	521	1567
padmet/GCA_900320985.padmet	157	1226	866	560	1523
padmet/GCA_900317055.padmet	152	1287	952	610	1573
padmet/GCA_900319025.padmet	120	1038	750	439	1266
padmet/GCA_900319295.padmet	167	1306	957	548	1597
padmet/GCA_900316865.padmet	168	1276	932	572	1516
padmet/GCA_900316395.padmet	157	1174	878	528	1436
padmet/GCA_900321265.padmet	129	1029	704	451	1300
padmet/GCA_900322005.padmet	157	1189	865	519	1495
padmet/GCA_900316935.padmet	172	1406	1072	593	1708
padmet/GCA_900314265.padmet	146	1035	813	553	1263
padmet/GCA_900316115.padmet	189	1467	1111	733	1742
padmet/GCA_900321105.padmet	41	548	378	181	812
padmet/GCA_900316215.padmet	182	1329	984	636	1621
padmet/GCA_900318425.padmet	177	1295	961	613	1598
padmet/GCA_900313825.padmet	195	1408	1032	706	1696
padmet/GCA_900320815.padmet	150	1216	920	554	1482
padmet/GCA_900314885.padmet	147	1202	931	610	1427
padmet/GCA_900319735.padmet	146	1191	873	534	1432
padmet/GCA_900313535.padmet	104	815	563	369	1007
padmet/GCA_900319215.padmet	131	977	705	462	1200
padmet/GCA_900315635.padmet	182	1293	946	616	1516
padmet/GCA_900314695.padmet	75	913	708	496	1226
padmet/GCA_900321915.padmet	152	1234	884	565	1567
padmet/GCA_900316275.padmet	195	1432	1090	644	1693
padmet/GCA_900322025.padmet	132	1022	735	423	1284
padmet/GCA_900320375.padmet	174	1184	837	557	1467
padmet/GCA_900318255.padmet	156	1250	937	567	1531
padmet/GCA_900316475.padmet	184	1390	1025	676	1692
padmet/GCA_900315695.padmet	191	1397	1036	746	1666
padmet/GCA_900314785.padmet	109	885	652	404	1072
padmet/GCA_900315605.padmet	129	1125	854	526	1388
padmet/GCA_900321345.padmet	133	974	753	526	1203
padmet/GCA_900321715.padmet	141	1091	786	467	1334
padmet/GCA_900315235.padmet	144	1110	802	554	1406
padmet/GCA_900313445.padmet	141	1140	833	501	1426
padmet/GCA_900318195.padmet	154	1235	962	644	1545
padmet/GCA_900313265.padmet	139	1089	754	461	1356
padmet/GCA_900313335.padmet	139	1043	754	433	1306
padmet/GCA_900318435.padmet	193	1525	1126	659	1766
padmet/GCA_900313475.padmet	112	1007	724	451	1338
padmet/GCA_900319885.padmet	93	820	591	336	1062
padmet/GCA_900314055.padmet	160	1123	853	558	1369
padmet/GCA_900319815.padmet	140	1058	751	492	1290
padmet/GCA_900316965.padmet	143	1130	837	488	1400
padmet/GCA_900321315.padmet	116	1067	793	492	1351
padmet/GCA_900317305.padmet	191	1459	1075	748	1780
padmet/GCA_900313785.padmet	157	1168	825	538	1464
padmet/GCA_900315745.padmet	196	1431	1064	758	1717
padmet/GCA_900321755.padmet	129	1057	743	485	1326
padmet/GCA_900313965.padmet	141	1091	770	526	1356
padmet/GCA_900317335.padmet	179	1395	1049	687	1666
padmet/GCA_900313085.padmet	144	1150	837	539	1374
padmet/GCA_900314895.padmet	137	1179	877	583	1476
padmet/GCA_900316975.padmet	187	1349	997	620	1641
padmet/GCA_900315265.padmet	151	1133	819	579	1388
padmet/GCA_900314135.padmet	173	1345	1019	660	1639
padmet/GCA_900319095.padmet	155	1284	958	562	1569
padmet/GCA_900313315.padmet	135	944	755	501	1177
padmet/GCA_900316285.padmet	189	1473	1104	698	1753
padmet/GCA_900320755.padmet	162	1283	943	648	1598
padmet/GCA_900322175.padmet	185	1354	989	695	1635
padmet/GCA_900318765.padmet	126	1061	734	453	1318
padmet/GCA_900314255.padmet	189	1395	1052	692	1668
padmet/GCA_900315415.padmet	128	1102	815	494	1335
padmet/GCA_900313485.padmet	124	1065	766	467	1288
padmet/GCA_900320775.padmet	197	1387	1038	619	1653
padmet/GCA_900317925.padmet	161	1228	866	515	1488
padmet/GCA_900313675.padmet	130	1105	808	512	1387
padmet/GCA_900319235.padmet	167	1271	946	673	1553
padmet/GCA_900316945.padmet	161	1150	825	535	1357
padmet/GCA_900318495.padmet	131	1087	824	498	1349
padmet/GCA_900319265.padmet	161	1231	912	553	1480
padmet/GCA_900320705.padmet	171	1213	896	562	1495
padmet/GCA_900318725.padmet	146	1100	787	500	1333
padmet/GCA_900321065.padmet	139	1088	801	460	1331
padmet/GCA_900317985.padmet	148	1180	849	542	1495
padmet/GCA_900320165.padmet	164	1277	918	571	1572
padmet/GCA_900320415.padmet	114	973	700	452	1234
padmet/GCA_900318795.padmet	176	1349	998	654	1650
padmet/GCA_900317815.padmet	142	1099	819	497	1342
padmet/GCA_900321885.padmet	141	1152	883	549	1443
padmet/GCA_900314115.padmet	156	1175	850	528	1410
padmet/GCA_900318115.padmet	186	1377	1003	614	1666
padmet/GCA_900317885.padmet	124	981	732	421	1238
padmet/GCA_900318935.padmet	145	1060	855	676	1326
padmet/GCA_900320275.padmet	188	1353	980	669	1620
padmet/GCA_900319555.padmet	169	1293	917	546	1558
padmet/GCA_900318275.padmet	135	1139	838	501	1411
padmet/GCA_900319975.padmet	149	1176	882	542	1400
padmet/GCA_900320255.padmet	169	1240	924	603	1511
padmet/GCA_900316365.padmet	79	629	477	335	830
padmet/GCA_900313985.padmet	154	1152	820	525	1379
padmet/GCA_900315805.padmet	163	1346	1018	583	1625
padmet/GCA_900318955.padmet	157	1185	844	533	1422
padmet/GCA_900317745.padmet	139	1101	792	488	1348
padmet/GCA_900318665.padmet	137	1123	822	467	1371
padmet/GCA_900315065.padmet	152	1203	868	621	1501
padmet/GCA_900318905.padmet	125	1039	769	516	1297
padmet/GCA_900321825.padmet	108	1027	744	440	1294
padmet/GCA_900317975.padmet	62	672	469	281	954
padmet/GCA_900319305.padmet	190	1347	979	686	1629
padmet/GCA_900317385.padmet	118	1006	726	457	1242
padmet/GCA_900317315.padmet	130	1084	803	511	1361
padmet/GCA_900318365.padmet	139	1064	809	481	1315
padmet/GCA_900321305.padmet	121	1038	760	457	1284
padmet/GCA_900316825.padmet	148	1239	943	609	1503
padmet/GCA_900318835.padmet	127	1065	778	464	1337
padmet/GCA_900318555.padmet	183	1391	1022	702	1685
padmet/GCA_900316515.padmet	136	1132	840	511	1409
padmet/GCA_900319635.padmet	142	1043	789	527	1278
padmet/GCA_900320195.padmet	132	1090	792	519	1443
padmet/GCA_900321075.padmet	119	958	694	426	1219
padmet/GCA_900318805.padmet	123	1115	853	528	1387
padmet/GCA_900317125.padmet	138	1125	843	521	1422
padmet/GCA_900314345.padmet	134	1110	793	525	1399
padmet/GCA_900321255.padmet	150	1139	828	562	1398
padmet/GCA_900315875.padmet	150	1206	897	553	1404
padmet/GCA_900314765.padmet	181	1435	1109	634	1740
padmet/GCA_900313095.padmet	163	1278	944	596	1583
padmet/GCA_900321025.padmet	116	996	733	473	1271
padmet/GCA_900316335.padmet	147	1184	839	531	1463
padmet/GCA_900318325.padmet	130	1104	817	550	1374
padmet/GCA_900315405.padmet	162	1293	977	609	1533
padmet/GCA_900313425.padmet	185	1403	1006	709	1733
padmet/GCA_900319775.padmet	141	1138	846	519	1396
padmet/GCA_900318135.padmet	123	1038	751	463	1300
padmet/GCA_900320745.padmet	75	674	528	300	942
padmet/GCA_900321525.padmet	141	1152	849	495	1422
padmet/GCA_900314975.padmet	151	1193	920	599	1505
padmet/GCA_900314435.padmet	127	1009	717	426	1248
padmet/GCA_900314535.padmet	192	1394	1052	642	1635
padmet/GCA_900313875.padmet	99	823	584	337	1067
padmet/GCA_900316735.padmet	176	1309	986	655	1614
padmet/GCA_900317995.padmet	146	1025	812	571	1235
padmet/GCA_900321295.padmet	161	1372	999	747	1695
padmet/GCA_900316885.padmet	149	1207	904	617	1455
padmet/GCA_900317325.padmet	165	1306	984	602	1609
padmet/GCA_900313225.padmet	177	1243	903	570	1533
padmet/GCA_900314735.padmet	143	1213	938	517	1449
padmet/GCA_900317965.padmet	127	1129	853	519	1414
padmet/GCA_900320115.padmet	145	1093	772	479	1321
padmet/GCA_900315985.padmet	141	1086	786	532	1387
padmet/GCA_900316765.padmet	169	1263	949	717	1539
padmet/GCA_900318065.padmet	156	1220	907	551	1474
padmet/GCA_900316855.padmet	176	1284	917	637	1549
padmet/GCA_900317255.padmet	157	1260	965	601	1537
padmet/GCA_900319395.padmet	149	1217	909	531	1472
padmet/GCA_900321615.padmet	159	1301	969	557	1609
padmet/GCA_900316955.padmet	181	1314	989	679	1546
padmet/GCA_900320895.padmet	120	1025	737	477	1342
padmet/GCA_900315585.padmet	153	1303	993	599	1619
padmet/GCA_900316715.padmet	163	1325	1034	642	1648
padmet/GCA_900318925.padmet	156	1284	963	641	1575
padmet/GCA_900319835.padmet	167	1273	913	653	1575
padmet/GCA_900313385.padmet	118	1042	766	466	1308
padmet/GCA_900318695.padmet	162	1194	878	549	1409
padmet/GCA_900313975.padmet	195	1496	1115	712	1807
padmet/GCA_900317135.padmet	123	1068	785	514	1426
padmet/GCA_900319035.padmet	136	1091	813	474	1341
padmet/GCA_900321985.padmet	148	1183	873	602	1482
padmet/GCA_900316925.padmet	141	1140	864	537	1401
padmet/GCA_900315525.padmet	195	1436	1067	730	1727
padmet/GCA_900316265.padmet	183	1365	1035	688	1639
padmet/GCA_900318875.padmet	165	1312	986	693	1574
padmet/GCA_900315785.padmet	112	1003	770	475	1230
padmet/GCA_900317165.padmet	71	727	493	292	984
padmet/GCA_900319845.padmet	163	1311	954	566	1609
padmet/GCA_900317595.padmet	129	1094	810	524	1359
padmet/GCA_900314185.padmet	176	1468	1075	628	1747
padmet/GCA_900317195.padmet	166	1289	967	600	1574
padmet/GCA_900313625.padmet	110	931	656	383	1187
padmet/GCA_900316525.padmet	185	1298	965	690	1521
padmet/GCA_900320795.padmet	165	1193	848	560	1418
padmet/GCA_900315435.padmet	156	1359	995	652	1639
padmet/GCA_900315015.padmet	164	1266	973	605	1524
padmet/GCA_900319115.padmet	195	1446	1070	720	1765
padmet/GCA_900318385.padmet	140	987	773	549	1198
padmet/GCA_900319325.padmet	100	856	639	360	1088
padmet/GCA_900318855.padmet	184	1355	979	619	1626
padmet/GCA_900314815.padmet	180	1359	1002	688	1656
padmet/GCA_900316575.padmet	149	1172	886	533	1409
padmet/GCA_900318755.padmet	160	1289	993	592	1547
padmet/GCA_900318995.padmet	175	1294	970	603	1582
padmet/GCA_900320565.padmet	167	1267	917	542	1546
padmet/GCA_900322155.padmet	166	1316	963	621	1624
padmet/GCA_900320575.padmet	142	933	730	459	1189
padmet/GCA_900313915.padmet	190	1407	1058	656	1691
padmet/GCA_900317415.padmet	131	1117	837	560	1359
padmet/GCA_900315445.padmet	180	1379	1041	629	1668
padmet/GCA_900317535.padmet	167	1287	965	661	1567
padmet/GCA_900319015.padmet	112	967	672	413	1256
padmet/GCA_900319405.padmet	146	1141	821	504	1390
padmet/GCA_900316605.padmet	140	1169	860	564	1524
padmet/GCA_900316665.padmet	147	1132	848	521	1354
padmet/GCA_900313245.padmet	66	757	564	420	1027
padmet/GCA_900318515.padmet	159	1248	936	599	1561
padmet/GCA_900314305.padmet	163	1300	970	641	1544
padmet/GCA_900314905.padmet	153	1233	872	563	1533
padmet/GCA_900320045.padmet	168	1275	915	567	1538
padmet/GCA_900315925.padmet	167	1361	1033	609	1647
padmet/GCA_900315725.padmet	162	1284	996	631	1584
padmet/GCA_900313075.padmet	67	640	494	370	815
padmet/GCA_900319565.padmet	155	1173	887	537	1446
padmet/GCA_900318455.padmet	171	1376	1032	636	1647
padmet/GCA_900319785.padmet	111	1023	767	476	1266
padmet/GCA_900320735.padmet	34	372	278	192	575
padmet/GCA_900315855.padmet	130	1079	796	535	1338
padmet/GCA_900321435.padmet	160	1234	882	582	1522
padmet/GCA_900322095.padmet	179	1320	958	656	1547
padmet/GCA_900315045.padmet	163	1276	987	580	1531
padmet/GCA_900316155.padmet	165	1319	1021	646	1629
padmet/GCA_900318185.padmet	146	1080	802	530	1337
padmet/GCA_900315595.padmet	149	1175	839	556	1431
padmet/GCA_900319185.padmet	150	1190	889	570	1390
padmet/GCA_900317295.padmet	71	635	491	300	874
padmet/GCA_900317465.padmet	178	1349	1005	670	1649
padmet/GCA_900321355.padmet	155	1237	903	511	1522
padmet/GCA_900313105.padmet	40	544	394	173	766
padmet/GCA_900316465.padmet	150	1258	954	599	1513
padmet/GCA_900318005.padmet	166	1307	955	651	1595
padmet/GCA_900321465.padmet	145	1224	901	577	1509
padmet/GCA_900318055.padmet	110	845	591	387	1094
padmet/GCA_900315255.padmet	142	1133	867	563	1377
padmet/GCA_900313555.padmet	115	919	684	423	1162
padmet/GCA_900313755.padmet	69	690	536	405	885
padmet/GCA_900317845.padmet	148	1104	800	508	1322
padmet/GCA_900318635.padmet	134	1109	781	504	1429
padmet/GCA_900313235.padmet	164	1265	906	611	1545
padmet/GCA_900320505.padmet	40	389	308	229	588
padmet/GCA_900316625.padmet	138	1137	840	499	1365
padmet/GCA_900315685.padmet	68	761	623	469	1000
padmet/GCA_900314825.padmet	223	1580	1203	750	1838
padmet/GCA_900317065.padmet	135	1060	760	430	1320
padmet/GCA_900317245.padmet	208	1590	1218	785	1900
padmet/GCA_900315375.padmet	166	1279	933	663	1561
padmet/GCA_900319205.padmet	181	1361	996	641	1633
padmet/GCA_900313325.padmet	147	1164	854	523	1450
padmet/GCA_900313115.padmet	134	1028	777	454	1251
padmet/GCA_900314715.padmet	182	1380	1041	727	1678
padmet/GCA_900320595.padmet	122	1016	730	467	1313
padmet/GCA_900317715.padmet	145	1166	874	532	1455
padmet/GCA_900314215.padmet	166	1246	926	580	1507
padmet/GCA_900319355.padmet	172	1279	946	608	1540
padmet/GCA_900320085.padmet	145	1206	888	624	1528
padmet/GCA_900321995.padmet	60	797	616	404	1111
padmet/GCA_900317795.padmet	134	1087	843	531	1334
padmet/GCA_900317575.padmet	96	768	574	335	1010
padmet/GCA_900318685.padmet	188	1359	1000	652	1615
padmet/GCA_900315205.padmet	163	1341	1007	625	1593
padmet/GCA_900314755.padmet	180	1373	1019	695	1676
padmet/GCA_900313155.padmet	69	673	463	253	951
padmet/GCA_900319615.padmet	125	985	672	461	1280
padmet/GCA_900317665.padmet	171	1299	962	628	1598
padmet/GCA_900314675.padmet	162	1252	942	627	1545
padmet/GCA_900314165.padmet	170	1461	1082	718	1720
padmet/GCA_900315965.padmet	150	1238	961	614	1509
padmet/GCA_900321595.padmet	111	947	661	458	1288
padmet/GCA_900320135.padmet	119	1028	752	457	1281
padmet/GCA_900316065.padmet	126	1033	745	471	1265
padmet/GCA_900317685.padmet	191	1362	983	638	1615
padmet/GCA_900317425.padmet	153	1181	830	512	1470
padmet/GCA_900319545.padmet	161	1199	897	571	1483
padmet/GCA_900317025.padmet	126	1042	777	484	1259
padmet/GCA_900321475.padmet	137	1026	750	447	1297
padmet/GCA_900314485.padmet	147	1210	932	537	1426
padmet/GCA_900320245.padmet	160	1303	974	571	1609
padmet/GCA_900313655.padmet	132	1015	713	438	1261
padmet/GCA_900320905.padmet	165	1291	956	632	1593
padmet/GCA_900317915.padmet	132	1060	778	514	1315
padmet/GCA_900321555.padmet	175	1224	883	558	1507
padmet/GCA_900314465.padmet	42	396	324	206	636
padmet/GCA_900317875.padmet	137	1128	856	563	1390
padmet/GCA_900321005.padmet	134	1047	744	441	1272
padmet/GCA_900321695.padmet	158	1174	815	499	1431
padmet/GCA_900314615.padmet	81	956	766	510	1276
padmet/GCA_900315885.padmet	66	574	456	312	833
padmet/GCA_900314565.padmet	208	1545	1190	858	1856
padmet/GCA_900319195.padmet	128	1060	812	498	1325
padmet/GCA_900315575.padmet	214	1599	1213	776	1870
padmet/GCA_900315155.padmet	199	1461	1106	701	1742
padmet/GCA_900314945.padmet	191	1340	992	626	1574
padmet/GCA_900317555.padmet	158	1193	868	603	1434
padmet/GCA_900314955.padmet	199	1490	1113	780	1805
padmet/GCA_900315345.padmet	161	1324	999	596	1640
padmet/GCA_900319905.padmet	196	1385	1010	630	1648
padmet/GCA_900320005.padmet	159	1242	924	582	1539
padmet/GCA_900316235.padmet	142	1099	816	501	1358
padmet/GCA_900316645.padmet	176	1332	991	650	1615
padmet/GCA_900320825.padmet	149	1211	885	592	1507
padmet/GCA_900314385.padmet	159	1215	872	534	1475
padmet/GCA_900321425.padmet	168	1191	841	530	1446
padmet/GCA_900321195.padmet	135	1118	855	486	1373
padmet/GCA_900313885.padmet	144	1113	810	524	1362
padmet/GCA_900315105.padmet	212	1513	1143	917	1800
padmet/GCA_900321415.padmet	141	1169	897	525	1374
padmet/GCA_900319965.padmet	66	599	468	294	800
padmet/GCA_900320635.padmet	121	957	757	503	1197
padmet/GCA_900318525.padmet	137	1192	895	539	1452
padmet/GCA_900320615.padmet	151	1198	906	589	1463
padmet/GCA_900320365.padmet	155	1227	902	603	1483
padmet/GCA_900319625.padmet	162	1247	912	552	1524
padmet/GCA_900320925.padmet	127	984	736	431	1251
padmet/GCA_900315905.padmet	170	1359	1056	661	1649
padmet/GCA_900315505.padmet	164	1220	906	572	1448
padmet/GCA_900314925.padmet	142	1153	849	504	1417
padmet/GCA_900321735.padmet	112	934	671	397	1192
padmet/GCA_900320715.padmet	186	1324	947	551	1589
padmet/GCA_900320015.padmet	173	1345	1012	716	1644
padmet/GCA_900319645.padmet	142	1076	788	488	1322
padmet/GCA_900319425.padmet	150	1113	821	504	1358
padmet/GCA_900314475.padmet	128	1057	756	436	1342
padmet/GCA_900317035.padmet	157	1184	908	574	1481
padmet/GCA_900321795.padmet	36	517	341	191	780
padmet/GCA_900318235.padmet	124	1131	851	537	1403
padmet/GCA_900316195.padmet	149	1198	881	541	1482
padmet/GCA_900316555.padmet	139	1131	843	528	1379
padmet/GCA_900319315.padmet	156	1255	939	542	1533
padmet/GCA_900315165.padmet	139	1101	831	551	1347
padmet/GCA_900317365.padmet	151	1239	961	663	1540
padmet/GCA_900315315.padmet	171	1281	962	754	1599
padmet/GCA_900318985.padmet	142	1155	810	503	1475
padmet/GCA_900322125.padmet	74	831	622	407	1122
padmet/GCA_900321875.padmet	121	991	698	409	1215
padmet/GCA_900319135.padmet	141	1137	838	555	1485
padmet/GCA_900315625.padmet	150	1148	831	531	1417
padmet/GCA_900321485.padmet	82	704	527	310	937
padmet/GCA_900316045.padmet	173	1290	942	574	1532
padmet/GCA_900315655.padmet	77	789	642	482	1035
padmet/GCA_900314065.padmet	166	1125	842	635	1354
padmet/GCA_900321665.padmet	123	992	666	429	1287
padmet/GCA_900316105.padmet	169	1261	937	561	1499
padmet/GCA_900313905.padmet	182	1451	1078	653	1765
padmet/GCA_900318915.padmet	186	1314	953	636	1597
padmet/GCA_900321655.padmet	139	1130	801	513	1371
padmet/GCA_900321335.padmet	159	1289	931	536	1589
padmet/GCA_900319515.padmet	155	1272	934	560	1529
padmet/GCA_900320885.padmet	158	1260	927	589	1554
padmet/GCA_900321285.padmet	136	1126	817	535	1470
padmet/GCA_900314705.padmet	137	1090	821	541	1361
padmet/GCA_900319285.padmet	155	1182	869	538	1440
padmet/GCA_900316785.padmet	204	1468	1093	782	1756
padmet/GCA_900319495.padmet	163	1296	961	573	1580
padmet/GCA_900313465.padmet	85	751	523	282	997
padmet/GCA_900315175.padmet	147	1192	879	537	1470
padmet/GCA_900313585.padmet	111	878	688	403	1107
padmet/GCA_900313715.padmet	157	1241	899	521	1544
padmet/GCA_900318245.padmet	132	1056	781	451	1289
padmet/GCA_900320395.padmet	160	1228	910	536	1496
padmet/GCA_900321145.padmet	132	1149	855	486	1428
padmet/GCA_900314865.padmet	83	696	508	321	896
padmet/GCA_900320285.padmet	154	1056	787	549	1280
padmet/GCA_900319875.padmet	58	736	542	392	997
