bacterium	scope_size
GCA_900317555	103
GCA_900315055	133
GCA_900321135	91
GCA_900315995	78
GCA_900316835	147
GCA_900316795	91
GCA_900319465	150
GCA_900319675	109
GCA_900317875	45
GCA_900318885	178
GCA_900315515	101
GCA_900314525	93
GCA_900322175	136
GCA_900318285	128
GCA_900321065	94
GCA_900320785	137
GCA_900320575	132
GCA_900321675	98
GCA_900318325	39
GCA_900319095	45
GCA_900318345	154
GCA_900318045	164
GCA_900321615	85
GCA_900316455	86
GCA_900321375	124
GCA_900317975	38
GCA_900315645	90
GCA_900313935	163
GCA_900313605	123
GCA_900319635	158
GCA_900318805	85
GCA_900315945	74
GCA_900320625	100
GCA_900315525	187
GCA_900317915	41
GCA_900321745	108
GCA_900314865	92
GCA_900316175	38
GCA_900319415	120
GCA_900320715	145
GCA_900320255	139
GCA_900319795	91
GCA_900315765	166
GCA_900320805	134
GCA_900315015	48
GCA_900321865	36
GCA_900316605	94
GCA_900313875	38
GCA_900316125	40
GCA_900320705	111
GCA_900316475	166
GCA_900318085	123
GCA_900314535	154
GCA_900316435	39
GCA_900314415	41
GCA_900321205	32
GCA_900319365	144
GCA_900321235	151
GCA_900315745	119
GCA_900314595	46
GCA_900314395	84
GCA_900315845	35
GCA_900313855	75
GCA_900313715	130
GCA_900318645	147
GCA_900317115	174
GCA_900320815	59
GCA_900317025	101
GCA_900317795	45
GCA_900321115	138
GCA_900318865	131
GCA_900320295	126
GCA_900318015	174
GCA_900318925	108
GCA_900317705	133
GCA_900320825	81
GCA_900316985	164
GCA_900318965	47
GCA_900313645	44
GCA_900320495	134
GCA_900316625	55
GCA_900314065	150
GCA_900314705	45
GCA_900321365	112
GCA_900317315	69
GCA_900321695	143
GCA_900321295	119
GCA_900313945	95
GCA_900314145	167
GCA_900318855	150
GCA_900314965	154
GCA_900313455	80
GCA_900318705	161
GCA_900313345	27
GCA_900318975	38
GCA_900319475	157
GCA_900319905	151
GCA_900317195	153
GCA_900314505	151
GCA_900318335	152
GCA_900318355	37
GCA_900315455	180
GCA_900317365	37
GCA_900313185	30
GCA_900320505	27
GCA_900314585	92
GCA_900314815	159
GCA_900316525	167
GCA_900319485	133
GCA_900317335	164
GCA_900314875	32
GCA_900320355	171
GCA_900317005	135
GCA_900321705	88
GCA_900319705	39
GCA_900314085	133
GCA_900315295	119
GCA_900319975	101
GCA_900318295	76
GCA_900315975	94
GCA_900319325	38
GCA_900319145	151
GCA_900318665	123
GCA_900321495	83
GCA_900318785	151
GCA_900318205	145
GCA_900314155	105
GCA_900314235	162
GCA_900314665	38
GCA_900319715	162
GCA_900320305	118
GCA_900317285	82
GCA_900318245	84
GCA_900321015	74
GCA_900321075	96
GCA_900320525	88
GCA_900319045	130
GCA_900317785	132
GCA_900314265	98
GCA_900322075	133
GCA_900321225	81
GCA_900321995	41
GCA_900319055	39
GCA_900317685	157
GCA_900316685	163
GCA_900321085	48
GCA_900321535	50
GCA_900313785	82
GCA_900314575	144
GCA_900313135	150
GCA_900317595	47
GCA_900321985	73
GCA_900317825	50
GCA_900315505	106
GCA_900320665	117
GCA_900313095	81
GCA_900317475	145
GCA_900320005	141
GCA_900318615	125
GCA_900313895	49
GCA_900318065	141
GCA_900315715	46
GCA_900320585	178
GCA_900318955	141
GCA_900322165	67
GCA_900315165	140
GCA_900321465	125
GCA_900313405	72
GCA_900314055	87
GCA_900320545	136
GCA_900316565	163
GCA_900318815	153
GCA_900321715	128
GCA_900314785	38
GCA_900319495	107
GCA_900319915	42
GCA_900320115	114
GCA_900317485	37
GCA_900314005	91
GCA_900313215	147
GCA_900317445	140
GCA_900320235	34
GCA_900316135	187
GCA_900317015	44
GCA_900316775	106
GCA_900322025	85
GCA_900322155	118
GCA_900319605	147
GCA_900321885	99
GCA_900320535	143
GCA_900318695	54
GCA_900322055	31
GCA_900321975	46
GCA_900318175	129
GCA_900321005	51
GCA_900321045	102
GCA_900317095	109
GCA_900315665	45
GCA_900317075	50
GCA_900316895	44
GCA_900313315	38
GCA_900317045	101
GCA_900319775	133
GCA_900320955	53
GCA_900321725	91
GCA_900313865	38
GCA_900316925	48
GCA_900319555	159
GCA_900313445	66
GCA_900321635	115
GCA_900317265	86
GCA_900319505	135
GCA_900316825	40
GCA_900313285	27
GCA_900317675	129
GCA_900314945	165
GCA_900313635	100
GCA_900314645	136
GCA_900319085	148
GCA_900320135	40
GCA_900319985	37
GCA_900321245	112
GCA_900317605	137
GCA_900320405	30
GCA_900314205	103
GCA_900317535	151
GCA_900318425	113
GCA_900319835	102
GCA_900322125	44
GCA_900315335	144
GCA_900320335	87
GCA_900314495	126
GCA_900317865	37
GCA_900318415	101
GCA_900317375	165
GCA_900313105	30
GCA_900315005	142
GCA_900320065	69
GCA_900316025	40
GCA_900313495	55
GCA_900315605	37
GCA_900319655	37
GCA_900318165	130
GCA_900320345	54
GCA_900318195	35
GCA_900315565	162
GCA_900320215	140
GCA_900319645	141
GCA_900316325	91
GCA_900321685	89
GCA_900313245	53
GCA_900314805	47
GCA_900317345	136
GCA_900317255	95
GCA_900318145	105
GCA_900314335	120
GCA_900319245	106
GCA_900317425	141
GCA_900318595	69
GCA_900318305	151
GCA_900314455	157
GCA_900319725	81
GCA_900314995	177
GCA_900320855	89
GCA_900315185	149
GCA_900315235	139
GCA_900316295	153
GCA_900317395	41
GCA_900318075	32
GCA_900319225	100
GCA_900317985	77
GCA_900314625	53
GCA_900315775	161
GCA_900314605	35
GCA_900316635	42
GCA_900319235	138
GCA_900319015	48
GCA_900316335	122
GCA_900321315	106
GCA_900318375	92
GCA_900322135	139
GCA_900318215	173
GCA_900316915	89
GCA_900315355	43
GCA_900321755	41
GCA_900321545	129
GCA_900313205	129
GCA_900313485	40
GCA_900318895	138
GCA_900315375	144
GCA_900322215	34
GCA_900318685	173
GCA_900314975	89
GCA_900320695	96
GCA_900318405	131
GCA_900314915	134
GCA_900315635	163
GCA_900316095	149
GCA_900316845	133
GCA_900315275	46
GCA_900314465	31
GCA_900317725	99
GCA_900317545	159
GCA_900315125	97
GCA_900314165	47
GCA_900318105	104
GCA_900313275	114
GCA_900313965	91
GCA_900318055	78
GCA_900315025	131
GCA_900319265	133
GCA_900317275	92
GCA_900316675	107
GCA_900317135	84
GCA_900315595	113
GCA_900313675	37
GCA_900314445	97
GCA_900315875	101
GCA_900319345	129
GCA_900316005	98
GCA_900319615	38
GCA_900322085	120
GCA_900320375	114
GCA_900316465	40
GCA_900315725	96
GCA_900320905	105
GCA_900313375	132
GCA_900313555	42
GCA_900318715	77
GCA_900321765	93
GCA_900318725	91
GCA_900321215	104
GCA_900316415	76
GCA_900317965	68
GCA_900316905	87
GCA_900318265	136
GCA_900320605	95
GCA_900313655	103
GCA_900316345	38
GCA_900321455	128
GCA_900314115	139
GCA_900321305	45
GCA_900317845	97
GCA_900321155	124
GCA_900321845	62
GCA_900313505	75
GCA_900317295	65
GCA_900319935	116
GCA_900315475	39
GCA_900320995	35
GCA_900316445	179
GCA_900316555	57
GCA_900319125	83
GCA_900316975	155
GCA_900314795	46
GCA_900320435	95
GCA_900321175	101
GCA_900313335	55
GCA_900315315	122
GCA_900315555	110
GCA_900319745	91
GCA_900315425	94
GCA_900313305	56
GCA_900317805	132
GCA_900321265	37
GCA_900314725	135
GCA_900316155	115
GCA_900316485	48
GCA_900320685	86
GCA_900318115	152
GCA_900316385	50
GCA_900313075	40
GCA_900317205	70
GCA_900316655	144
GCA_900319455	69
GCA_900321505	80
GCA_900321575	36
GCA_900317765	83
GCA_900321415	37
GCA_900318275	137
GCA_900321555	139
GCA_900313415	35
GCA_900319525	115
GCA_900314425	97
GCA_900315655	35
GCA_900320045	156
GCA_900313625	92
GCA_900321835	147
GCA_900319275	148
GCA_900315855	39
GCA_900318005	159
GCA_900317635	142
GCA_900320945	75
GCA_900317085	92
GCA_900318625	129
GCA_900320735	30
GCA_900315465	41
GCA_900319405	99
GCA_900317815	105
GCA_900315085	50
GCA_900316805	89
GCA_900316305	131
GCA_900321025	63
GCA_900315535	39
GCA_900317185	76
GCA_900313595	120
GCA_900322095	173
GCA_900319625	104
GCA_900314035	36
GCA_900321775	106
GCA_900317145	93
GCA_900315705	124
GCA_900318995	100
GCA_900314895	131
GCA_900315105	170
GCA_900321945	144
GCA_900320845	93
GCA_900314745	108
GCA_900315255	136
GCA_900315215	54
GCA_900317745	139
GCA_900315835	150
GCA_900320455	133
GCA_900316315	154
GCA_900313545	103
GCA_900315805	43
GCA_900319515	45
GCA_900315885	37
GCA_900314835	89
GCA_900319205	131
GCA_900313435	127
GCA_900319815	105
GCA_900315675	119
GCA_900319395	141
GCA_900318575	81
GCA_900320225	137
GCA_900314825	172
GCA_900317715	137
GCA_900314195	106
GCA_900319005	133
GCA_900316265	153
GCA_900313765	105
GCA_900319845	148
GCA_900314435	138
GCA_900321935	134
GCA_900320425	32
GCA_900320865	128
GCA_900315545	135
GCA_900314185	121
GCA_900317645	166
GCA_900314305	41
GCA_900318655	140
GCA_900316255	127
GCA_900316245	142
GCA_900319595	95
GCA_900314925	135
GCA_900313925	154
GCA_900314655	162
GCA_900318795	121
GCA_900319865	136
GCA_900320985	148
GCA_900320965	117
GCA_900316355	156
GCA_900322045	36
GCA_900313175	35
GCA_900317755	143
GCA_900316165	52
GCA_900321855	37
GCA_900313725	29
GCA_900318825	74
GCA_900313695	40
GCA_900319955	34
GCA_900313295	35
GCA_900319885	32
GCA_900313565	85
GCA_900322145	46
GCA_900320385	126
GCA_900315245	135
GCA_900316375	76
GCA_900314675	80
GCA_900314125	117
GCA_900316205	146
GCA_900322015	106
GCA_900318765	122
GCA_900314325	40
GCA_900319025	125
GCA_900316225	105
GCA_900313515	80
GCA_900315075	174
GCA_900313475	127
GCA_900317035	84
GCA_900318525	118
GCA_900322115	90
GCA_900316595	32
GCA_900321785	41
GCA_900316705	77
GCA_900314775	122
GCA_900313805	97
GCA_900315445	45
GCA_900315115	170
GCA_900321335	43
GCA_900315395	37
GCA_900315915	163
GCA_900317895	89
GCA_900316695	103
GCA_900321255	170
GCA_900320175	71
GCA_900321275	141
GCA_900318555	163
GCA_900317835	153
GCA_900317525	38
GCA_900316945	135
GCA_900317515	96
GCA_900321565	93
GCA_900318485	92
GCA_900313845	101
GCA_900316645	160
GCA_900320285	129
GCA_900317565	126
GCA_900321145	36
GCA_900317235	162
GCA_900315145	39
GCA_900318465	112
GCA_900313235	134
GCA_900322105	41
GCA_900320265	129
GCA_900317575	108
GCA_900319135	90
GCA_900314635	44
GCA_900317465	165
GCA_900320465	133
GCA_900318585	167
GCA_900320755	103
GCA_900317175	41
GCA_900320565	154
GCA_900313775	79
GCA_900314095	106
GCA_900315065	145
GCA_900320205	90
GCA_900316665	96
GCA_900315985	122
GCA_900320935	79
GCA_900321325	129
GCA_900315955	181
GCA_900313465	69
GCA_900319165	119
GCA_900321105	30
GCA_900313685	87
GCA_900314695	54
GCA_900319805	152
GCA_900315345	37
GCA_900321475	90
GCA_900318435	86
GCA_900317615	111
GCA_900313085	39
GCA_900319185	114
GCA_900320085	94
GCA_900321875	129
GCA_900317385	108
GCA_900314345	82
GCA_900321665	67
GCA_900319925	88
GCA_900313325	122
GCA_900317055	117
GCA_900317455	47
GCA_900318775	157
GCA_900315135	154
GCA_900320915	160
GCA_900313115	133
GCA_900316185	117
GCA_900317415	39
GCA_900320325	61
GCA_900320055	142
GCA_900314275	104
GCA_900314555	100
GCA_900317125	132
GCA_900321815	41
GCA_900320795	161
GCA_900315045	47
GCA_900316395	100
GCA_900316755	135
GCA_900321445	119
GCA_900320015	163
GCA_900314225	35
GCA_900313385	41
GCA_900317165	71
GCA_900318385	81
GCA_900320095	32
GCA_900319875	44
GCA_900321165	89
GCA_900315305	151
GCA_900315785	46
GCA_900319155	69
GCA_900316045	126
GCA_900319285	105
GCA_900315265	160
GCA_900320365	127
GCA_900318495	45
GCA_900319585	100
GCA_900314475	131
GCA_900316585	187
GCA_900320725	128
GCA_900316815	38
GCA_900319425	51
GCA_900317935	127
GCA_900313585	48
GCA_900321055	105
GCA_900313835	36
GCA_900316745	146
GCA_900318185	87
GCA_900314135	77
GCA_900317885	142
GCA_900317305	166
GCA_900319545	117
GCA_900320475	85
GCA_900314245	91
GCA_900317955	117
GCA_900317435	97
GCA_900315285	76
GCA_900318915	139
GCA_900316495	133
GCA_900321185	30
GCA_900320635	60
GCA_900321095	94
GCA_900321925	83
GCA_900316535	39
GCA_900315095	161
GCA_900320185	130
GCA_900315695	185
GCA_900319965	66
GCA_900313905	154
GCA_900320975	83
GCA_900316285	168
GCA_900313535	78
GCA_900318315	112
GCA_900315965	93
GCA_900315625	83
GCA_900313745	96
GCA_900316935	36
GCA_900315575	180
GCA_900315405	39
GCA_900314765	99
GCA_900317655	124
GCA_900316215	159
GCA_900320025	104
GCA_900314565	130
GCA_900315035	186
GCA_900319215	77
GCA_900314255	146
GCA_900314075	150
GCA_900313915	179
GCA_900314015	87
GCA_900320775	57
GCA_900315225	147
GCA_900321035	47
GCA_900320885	110
GCA_900320515	44
GCA_900320105	107
GCA_900313665	83
GCA_900314855	35
GCA_900314045	111
GCA_900318835	78
GCA_900320835	40
GCA_900321595	49
GCA_900320555	54
GCA_900321645	77
GCA_900321605	139
GCA_900321355	62
GCA_900315435	131
GCA_900319755	116
GCA_900314905	143
GCA_900320895	72
GCA_900313155	27
GCA_900317325	149
GCA_900321435	83
GCA_900316075	94
GCA_900319175	120
GCA_900318675	166
GCA_900320595	83
GCA_900315415	55
GCA_900320615	86
GCA_900319305	168
GCA_900315155	183
GCA_900316545	40
GCA_900319765	100
GCA_900317625	102
GCA_900316365	67
GCA_900316615	133
GCA_900321965	87
GCA_900318505	41
GCA_900317405	128
GCA_900319355	131
GCA_900318225	154
GCA_900320315	39
GCA_900320245	141
GCA_900317905	159
GCA_900320075	61
GCA_900313985	147
GCA_900313145	139
GCA_900319895	133
GCA_900313165	122
GCA_900321515	102
GCA_900318455	50
GCA_900320925	86
GCA_900317665	166
GCA_900317155	87
GCA_900315815	42
GCA_900313575	32
GCA_900319255	141
GCA_900319995	134
GCA_900313795	62
GCA_900313395	32
GCA_900314375	32
GCA_900314615	43
GCA_900313525	104
GCA_900314025	163
GCA_900320395	149
GCA_900319035	141
GCA_900318095	182
GCA_900319785	112
GCA_900321385	40
GCA_900321405	156
GCA_900319295	143
GCA_900316885	42
GCA_900313825	156
GCA_900313705	123
GCA_900316765	148
GCA_900315935	131
GCA_900321285	88
GCA_900315615	108
