sample	phylum	occurrence
MH0339	Firmicutes_C	2
MH0339	Proteobacteria	4
MH0339	Verrucomicrobiota	1
MH0343	Actinobacteriota	3
MH0343	Bacteroidota	33
MH0343	Cyanobacteria	2
MH0343	Desulfobacterota_A	2
MH0343	Euryarchaeota	1
MH0343	Firmicutes	5
MH0343	Firmicutes_A	66
MH0343	Firmicutes_C	2
MH0343	Proteobacteria	4
MH0343	Synergistota	1
MH0343	Thermoplasmatota	1
MH0343	Verrucomicrobiota	3
MH0346	Actinobacteriota	2
MH0346	Bacteroidota	27
MH0346	Firmicutes	9
MH0346	Firmicutes_A	74
MH0346	Firmicutes_C	5
MH0346	Proteobacteria	2
MH0346	Verrucomicrobiota	1
MH0347	Actinobacteriota	8
MH0347	Bacteroidota	33
MH0347	Firmicutes	5
MH0347	Firmicutes_A	55
MH0347	Firmicutes_C	1
MH0347	Proteobacteria	1
MH0349	Actinobacteriota	5
MH0349	Bacteroidota	23
MH0349	Euryarchaeota	1
MH0349	Firmicutes	6
MH0349	Firmicutes_A	88
MH0349	Firmicutes_C	1
MH0349	Proteobacteria	1
MH0349	Spirochaetota	1
MH0349	Verrucomicrobiota	1
MH0354	Actinobacteriota	6
MH0354	Bacteroidota	30
MH0354	Euryarchaeota	1
MH0354	Firmicutes	12
MH0354	Firmicutes_A	49
MH0354	Firmicutes_C	6
MH0354	Proteobacteria	1
MH0354	Verrucomicrobiota	1
MH0355	Actinobacteriota	5
MH0355	Bacteroidota	30
MH0355	Cyanobacteria	3
MH0355	Desulfobacterota_A	2
MH0355	Euryarchaeota	1
MH0355	Firmicutes	26
MH0355	Firmicutes_A	90
MH0355	Firmicutes_C	1
MH0355	Proteobacteria	3
MH0358	Actinobacteriota	1
MH0358	Bacteroidota	34
MH0358	Cyanobacteria	1
MH0358	Firmicutes	3
MH0358	Firmicutes_A	41
MH0358	Firmicutes_C	1
MH0358	Proteobacteria	3
MH0359	Actinobacteriota	4
MH0359	Bacteroidota	31
MH0359	Desulfobacterota_A	1
MH0359	Firmicutes	1
MH0359	Firmicutes_A	67
MH0359	Firmicutes_C	4
MH0359	Proteobacteria	7
MH0359	Verrucomicrobiota	1
MH0361	Actinobacteriota	2
MH0361	Bacteroidota	36
MH0361	Firmicutes	4
MH0361	Firmicutes_A	62
MH0361	Firmicutes_C	1
MH0361	Proteobacteria	1
MH0362	Actinobacteriota	7
MH0362	Bacteroidota	38
MH0362	Cyanobacteria	1
MH0362	Desulfobacterota_A	2
MH0362	Euryarchaeota	1
MH0362	Firmicutes	7
MH0362	Firmicutes_A	71
MH0362	Firmicutes_C	1
MH0362	Verrucomicrobiota	2
MH0364	Actinobacteriota	3
MH0364	Bacteroidota	35
MH0364	Cyanobacteria	2
MH0364	Desulfobacterota_A	1
MH0364	Firmicutes	14
MH0364	Firmicutes_A	78
MH0364	Firmicutes_C	1
MH0364	Proteobacteria	4
MH0364	Verrucomicrobiota	1
MH0365	Actinobacteriota	2
MH0365	Bacteroidota	37
MH0365	Cyanobacteria	1
MH0365	Desulfobacterota_A	1
MH0365	Firmicutes	12
MH0365	Firmicutes_A	75
MH0365	Firmicutes_C	6
MH0365	Proteobacteria	7
MH0365	Verrucomicrobiota	1
MH0366	Actinobacteriota	9
MH0366	Bacteroidota	27
MH0366	Desulfobacterota_A	1
MH0366	Euryarchaeota	1
MH0366	Firmicutes	6
MH0366	Firmicutes_A	60
MH0366	Proteobacteria	2
MH0366	Verrucomicrobiota	1
MH0368	Bacteroidota	37
MH0368	Cyanobacteria	1
MH0368	Euryarchaeota	1
MH0368	Firmicutes	17
MH0368	Firmicutes_A	59
MH0368	Firmicutes_C	1
MH0368	Proteobacteria	2
MH0369	Actinobacteriota	2
MH0369	Bacteroidota	31
MH0369	Cyanobacteria	6
MH0369	Desulfobacterota_A	2
MH0369	Euryarchaeota	1
MH0369	Firmicutes	16
MH0369	Firmicutes_A	58
MH0369	Firmicutes_C	1
MH0369	Proteobacteria	4
MH0369	Verrucomicrobiota	1
MH0371	Actinobacteriota	1
MH0371	Bacteroidota	32
MH0371	Euryarchaeota	1
MH0371	Firmicutes	14
MH0371	Firmicutes_A	90
MH0371	Firmicutes_C	1
MH0371	Proteobacteria	5
MH0372	Actinobacteriota	7
MH0372	Bacteroidota	26
MH0372	Firmicutes	8
MH0372	Firmicutes_A	45
MH0372	Firmicutes_C	1
MH0372	Proteobacteria	1
MH0373	Actinobacteriota	2
MH0373	Bacteroidota	25
MH0373	Desulfobacterota_A	1
MH0373	Euryarchaeota	1
MH0373	Firmicutes	13
MH0373	Firmicutes_A	61
MH0373	Verrucomicrobiota	3
MH0374	Actinobacteriota	2
MH0374	Bacteroidota	25
MH0374	Euryarchaeota	1
MH0374	Firmicutes	11
MH0374	Firmicutes_A	92
MH0374	Firmicutes_C	3
MH0374	Proteobacteria	1
MH0375	Actinobacteriota	2
MH0375	Bacteroidota	40
MH0375	Desulfobacterota_A	1
MH0375	Firmicutes	3
MH0375	Firmicutes_A	43
MH0375	Firmicutes_C	1
MH0375	Proteobacteria	2
MH0375	Verrucomicrobiota	1
MH0376	Actinobacteriota	3
MH0376	Bacteroidota	36
MH0376	Euryarchaeota	1
MH0376	Firmicutes	11
MH0376	Firmicutes_A	80
MH0376	Firmicutes_C	2
MH0376	Proteobacteria	6
MH0376	Verrucomicrobiota	1
MH0377	Actinobacteriota	1
MH0377	Bacteroidota	40
MH0377	Cyanobacteria	1
MH0377	Desulfobacterota_A	1
MH0377	Euryarchaeota	1
MH0377	Firmicutes	17
MH0377	Firmicutes_A	70
MH0377	Firmicutes_C	2
MH0377	Proteobacteria	4
MH0377	Verrucomicrobiota	1
MH0378	Actinobacteriota	1
MH0378	Bacteroidota	32
MH0378	Cyanobacteria	3
MH0378	Desulfobacterota_A	1
MH0378	Firmicutes	9
MH0378	Firmicutes_A	70
MH0378	Firmicutes_C	1
MH0378	Proteobacteria	4
MH0381	Actinobacteriota	1
MH0381	Bacteroidota	31
MH0381	Cyanobacteria	1
MH0381	Firmicutes	9
MH0381	Firmicutes_A	80
MH0381	Firmicutes_C	1
MH0381	Proteobacteria	4
MH0381	Verrucomicrobiota	1
MH0382	Actinobacteriota	7
MH0382	Bacteroidota	31
MH0382	Desulfobacterota_A	1
MH0382	Firmicutes	2
MH0382	Firmicutes_A	70
MH0382	Firmicutes_C	2
MH0382	Proteobacteria	3
MH0382	Verrucomicrobiota	1
MH0383	Actinobacteriota	3
MH0383	Bacteroidota	29
MH0383	Firmicutes	17
MH0383	Firmicutes_A	52
MH0383	Firmicutes_C	6
MH0383	Proteobacteria	2
MH0384	Actinobacteriota	1
MH0384	Bacteroidota	36
MH0384	Firmicutes	12
MH0384	Firmicutes_A	69
MH0384	Proteobacteria	2
MH0385	Bacteroidota	42
MH0385	Cyanobacteria	4
MH0385	Desulfobacterota_A	1
MH0385	Firmicutes	15
MH0385	Firmicutes_A	79
MH0385	Firmicutes_C	1
MH0385	Proteobacteria	5
MH0385	Verrucomicrobiota	1
MH0386	Actinobacteriota	1
MH0386	Bacteroidota	39
MH0386	Cyanobacteria	1
MH0386	Firmicutes	9
MH0386	Firmicutes_A	83
MH0386	Firmicutes_C	1
MH0386	Proteobacteria	5
MH0386	Spirochaetota	1
MH0387	Actinobacteriota	5
MH0387	Bacteroidota	30
MH0387	Desulfobacterota_A	1
MH0387	Firmicutes	3
MH0387	Firmicutes_A	48
MH0387	Firmicutes_C	2
MH0387	Proteobacteria	3
MH0388	Actinobacteriota	5
MH0388	Bacteroidota	32
MH0388	Desulfobacterota_A	2
MH0388	Firmicutes	3
MH0388	Firmicutes_A	55
MH0388	Firmicutes_C	6
MH0388	Proteobacteria	9
MH0389	Actinobacteriota	1
MH0389	Bacteroidota	37
MH0389	Desulfobacterota_A	1
MH0389	Euryarchaeota	1
MH0389	Firmicutes	5
MH0389	Firmicutes_A	72
MH0389	Firmicutes_C	1
MH0389	Proteobacteria	4
MH0389	Verrucomicrobiota	1
MH0390	Actinobacteriota	2
MH0390	Bacteroidota	33
MH0390	Desulfobacterota_A	2
MH0390	Euryarchaeota	1
MH0390	Firmicutes	17
MH0390	Firmicutes_A	83
MH0390	Firmicutes_C	1
MH0390	Proteobacteria	3
MH0391	Actinobacteriota	1
MH0391	Bacteroidota	36
MH0391	Desulfobacterota_A	1
MH0391	Euryarchaeota	1
MH0391	Firmicutes	11
MH0391	Firmicutes_A	73
MH0391	Firmicutes_C	1
MH0391	Proteobacteria	5
MH0391	Verrucomicrobiota	1
MH0393	Actinobacteriota	5
MH0393	Bacteroidota	27
MH0393	Desulfobacterota_A	2
MH0393	Firmicutes	15
MH0393	Firmicutes_A	41
MH0393	Firmicutes_C	7
MH0393	Proteobacteria	2
MH0393	Verrucomicrobiota	1
MH0395	Actinobacteriota	3
MH0395	Bacteroidota	32
MH0395	Firmicutes	12
MH0395	Firmicutes_A	85
MH0395	Firmicutes_C	1
MH0395	Proteobacteria	2
MH0395	Thermoplasmatota	1
MH0395	Verrucomicrobiota	3
MH0396	Actinobacteriota	3
MH0396	Bacteroidota	22
MH0396	Euryarchaeota	1
MH0396	Firmicutes	4
MH0396	Firmicutes_A	81
MH0396	Firmicutes_C	2
MH0396	Proteobacteria	4
MH0397	Actinobacteriota	1
MH0397	Bacteroidota	21
MH0397	Desulfobacterota_A	1
MH0397	Firmicutes	7
MH0397	Firmicutes_A	88
MH0397	Firmicutes_C	1
MH0397	Proteobacteria	4
MH0397	Verrucomicrobiota	1
MH0399	Actinobacteriota	7
MH0399	Bacteroidota	38
MH0399	Desulfobacterota_A	1
MH0399	Euryarchaeota	1
MH0399	Firmicutes	10
MH0399	Firmicutes_A	89
MH0399	Firmicutes_C	1
MH0399	Proteobacteria	4
MH0399	Synergistota	1
MH0399	Thermoplasmatota	1
MH0399	Verrucomicrobiota	2
MH0402	Actinobacteriota	2
MH0402	Bacteroidota	32
MH0402	Euryarchaeota	1
MH0402	Firmicutes	17
MH0402	Firmicutes_A	92
MH0402	Firmicutes_C	2
MH0402	Proteobacteria	4
MH0402	Verrucomicrobiota	2
MH0404	Bacteroidota	41
MH0404	Cyanobacteria	1
MH0404	Desulfobacterota_A	1
MH0404	Firmicutes	5
MH0404	Firmicutes_A	59
MH0404	Firmicutes_C	1
MH0404	Proteobacteria	4
MH0404	Verrucomicrobiota	1
MH0408	Actinobacteriota	3
MH0408	Bacteroidota	34
MH0408	Cyanobacteria	3
MH0408	Euryarchaeota	1
MH0408	Firmicutes	14
MH0408	Firmicutes_A	91
MH0408	Firmicutes_C	1
MH0408	Proteobacteria	12
MH0408	Verrucomicrobiota	1
MH0410	Actinobacteriota	5
MH0410	Bacteroidota	29
MH0410	Cyanobacteria	1
MH0410	Firmicutes	4
MH0410	Firmicutes_A	61
MH0410	Firmicutes_C	1
MH0410	Proteobacteria	1
MH0414	Bacteroidota	32
MH0414	Firmicutes	5
MH0414	Firmicutes_A	46
MH0414	Firmicutes_C	2
MH0414	Proteobacteria	2
MH0414	Verrucomicrobiota	1
MH0416	Actinobacteriota	4
MH0416	Bacteroidota	34
MH0416	Desulfobacterota_A	1
MH0416	Firmicutes	10
MH0416	Firmicutes_A	86
MH0416	Firmicutes_C	1
MH0416	Proteobacteria	3
MH0416	Spirochaetota	1
MH0416	Verrucomicrobiota	2
MH0418	Actinobacteriota	3
MH0418	Bacteroidota	37
MH0418	Cyanobacteria	2
MH0418	Desulfobacterota_A	1
MH0418	Firmicutes	3
MH0418	Firmicutes_A	80
MH0418	Firmicutes_C	2
MH0418	Proteobacteria	5
MH0421	Actinobacteriota	1
MH0421	Bacteroidota	33
MH0421	Cyanobacteria	2
MH0421	Desulfobacterota_A	1
MH0421	Firmicutes	11
MH0421	Firmicutes_A	86
MH0421	Firmicutes_C	1
MH0421	Proteobacteria	9
MH0429	Actinobacteriota	2
MH0429	Bacteroidota	43
MH0429	Cyanobacteria	1
MH0429	Desulfobacterota_A	1
MH0429	Firmicutes	4
MH0429	Firmicutes_A	76
MH0429	Firmicutes_C	2
MH0429	Proteobacteria	2
MH0429	Verrucomicrobiota	1
MH0430	Actinobacteriota	5
MH0430	Bacteroidota	33
MH0430	Cyanobacteria	1
MH0430	Desulfobacterota_A	1
MH0430	Firmicutes	19
MH0430	Firmicutes_A	75
MH0430	Firmicutes_C	6
MH0430	Proteobacteria	2
MH0430	Verrucomicrobiota	1
MH0433	Actinobacteriota	4
MH0433	Bacteroidota	33
MH0433	Cyanobacteria	1
MH0433	Desulfobacterota_A	1
MH0433	Firmicutes	10
MH0433	Firmicutes_A	69
MH0433	Firmicutes_C	1
MH0433	Proteobacteria	9
MH0436	Bacteroidota	42
MH0436	Firmicutes	14
MH0436	Firmicutes_A	78
MH0436	Firmicutes_C	3
MH0436	Proteobacteria	3
MH0442	Actinobacteriota	7
MH0442	Bacteroidota	32
MH0442	Cyanobacteria	1
MH0442	Desulfobacterota_A	2
MH0442	Euryarchaeota	2
MH0442	Firmicutes	7
MH0442	Firmicutes_A	107
MH0442	Firmicutes_C	3
MH0442	Proteobacteria	4
MH0442	Verrucomicrobiota	1
MH0444	Bacteroidota	24
MH0444	Desulfobacterota_A	1
MH0444	Firmicutes	2
MH0444	Firmicutes_A	37
MH0444	Firmicutes_C	1
MH0444	Proteobacteria	4
MH0451	Actinobacteriota	6
MH0451	Bacteroidota	36
MH0451	Cyanobacteria	1
MH0451	Desulfobacterota_A	1
MH0451	Firmicutes	15
MH0451	Firmicutes_A	90
MH0451	Firmicutes_C	1
MH0451	Proteobacteria	7
MH0451	Thermoplasmatota	1
MH0451	Verrucomicrobiota	1
NG5425286	Actinobacteriota	2
